entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
NAD-dependent malic enzyme,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,W8VUB7,W8VUB7_THAPS,THAPS,trembl,,,,,false,6,W8VUB7|W8VUB7_THAPS|THAPS|trembl(ov=1.00); Q9SIU0|MAO1_ARATH|ARATH|sprot(ov=1.00); Q8L7K9|MAO2_ARATH|ARATH|sprot(ov=1.00); A0A8J5IGB1|A0A8J5IGB1_9STRA|9STRA|trembl(ov=1.00); A0A2I0WWL9|A0A2I0WWL9_9ASPA|9ASPA|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NAD-dependent malic enzyme 2,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,W8VUB7,W8VUB7_THAPS,THAPS,trembl,,,,,false,6,W8VUB7|W8VUB7_THAPS|THAPS|trembl(ov=1.00); Q9SIU0|MAO1_ARATH|ARATH|sprot(ov=1.00); Q8L7K9|MAO2_ARATH|ARATH|sprot(ov=1.00); A0A8J5IGB1|A0A8J5IGB1_9STRA|9STRA|trembl(ov=1.00); A0A2I0WWL9|A0A2I0WWL9_9ASPA|9ASPA|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NAD-GDH,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A1Q9F155,A0A1Q9F155_SYMMI,SYMMI,trembl,,,,,false,1,A0A1Q9F155|A0A1Q9F155_SYMMI|SYMMI|trembl(ov=1.00),"strong description match, single organism",ok,
NAD-malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q6Y0E9,Q6Y0E9_VITVI,VITVI,trembl,,,,,false,6,Q6Y0E9|Q6Y0E9_VITVI|VITVI|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NAD-MALIC ENZYME,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A023IRP7,A0A023IRP7_MALDO,MALDO,trembl,,,,,false,6,A0A023IRP7|A0A023IRP7_MALDO|MALDO|trembl(ov=1.00); A0A023IRR3|A0A023IRR3_MALDO|MALDO|trembl(ov=1.00); A0A3L6E3W9|A0A3L6E3W9_MAIZE|MAIZE|trembl(ov=1.00); Q9SIU0|MAO1_ARATH|ARATH|sprot(ov=1.00); Q8L7K9|MAO2_ARATH|ARATH|sprot(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NAD-ME,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,C1FDT6,C1FDT6_MICCC,MICCC,trembl,,,,,false,6,C1FDT6|C1FDT6_MICCC|MICCC|trembl(ov=1.00); E2JE40|E2JE40_AMAHP|AMAHP|trembl(ov=1.00); R1DNN3|R1DNN3_EMIHU|EMIHU|trembl(ov=1.00); W8VUB7|W8VUB7_THAPS|THAPS|trembl(ov=1.00); R1BEH4|R1BEH4_EMIHU|EMIHU|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NAD-specific glutamate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A024TN48,A0A024TN48_9STRA,9STRA,trembl,,,,,false,3,A0A024TN48|A0A024TN48_9STRA|9STRA|trembl(ov=1.00); A0A0M0J7Z3|A0A0M0J7Z3_9EUKA|9EUKA|trembl(ov=1.00); A0A7S3NEG7|A0A7S3NEG7_9STRA|9STRA|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
NAD/FAD binding domain,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A251U8M7,A0A251U8M7_HELAN,HELAN,trembl,,,,,false,6,A0A251U8M7|A0A251U8M7_HELAN|HELAN|trembl(ov=1.00); A0A251T2Z1|A0A251T2Z1_HELAN|HELAN|trembl(ov=1.00); A0A251S2Q3|A0A251S2Q3_HELAN|HELAN|trembl(ov=1.00); A0A251SMJ6|A0A251SMJ6_HELAN|HELAN|trembl(ov=1.00); A0A251TRV8|A0A251TRV8_HELAN|HELAN|trembl(ov=1.00),"strong description match, single organism",generic_description_warning,generic_description_warning
NAD_5_Binding,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A9K3DQ44,A0A9K3DQ44_HELAN,HELAN,trembl,,,,,false,9,A0A9K3DQ44|A0A9K3DQ44_HELAN|HELAN|trembl(ov=1.00); A0A9K3JWE7|A0A9K3JWE7_HELAN|HELAN|trembl(ov=1.00); A0A9K3EN05|A0A9K3EN05_HELAN|HELAN|trembl(ov=1.00); A0A9K3DSD4|A0A9K3DSD4_HELAN|HELAN|trembl(ov=1.00); A0A9K3ELE3|A0A9K3ELE3_HELAN|HELAN|trembl(ov=1.00),"strong description match, single organism",ok,
NADH dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P93306,NDUS2_ARATH,ARATH,sprot,,,,,false,6,P93306|NDUS2_ARATH|ARATH|sprot(ov=1.00); Q36450|NDUS2_NICSY|NICSY|sprot(ov=1.00); Q95748|NDUS3_ARATH|ARATH|sprot(ov=1.00); Q37787|NDUS3_BETVU|BETVU|sprot(ov=1.00); P34944|NDUS3_MARPO|MARPO|sprot(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NADH dehydrogenase 2,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P93306,NDUS2_ARATH,ARATH,sprot,,,,,false,6,P93306|NDUS2_ARATH|ARATH|sprot(ov=1.00); Q36450|NDUS2_NICSY|NICSY|sprot(ov=1.00); Q95748|NDUS3_ARATH|ARATH|sprot(ov=1.00); Q37787|NDUS3_BETVU|BETVU|sprot(ov=1.00); P34944|NDUS3_MARPO|MARPO|sprot(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NADH dehydrogenase subunit 2,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P93306,NDUS2_ARATH,ARATH,sprot,,,,,false,4,P93306|NDUS2_ARATH|ARATH|sprot(ov=1.00); Q36450|NDUS2_NICSY|NICSY|sprot(ov=1.00); F8UWN5|F8UWN5_9PHAE|9PHAE|trembl(ov=1.00); Q00NZ2|Q00NZ2_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",generic_description_warning,generic_description_warning
NADH dehydrogenase subunit 9,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P93306,NDUS2_ARATH,ARATH,sprot,,,,,false,4,P93306|NDUS2_ARATH|ARATH|sprot(ov=1.00); Q36450|NDUS2_NICSY|NICSY|sprot(ov=1.00); F8UWN5|F8UWN5_9PHAE|9PHAE|trembl(ov=1.00); Q00NZ2|Q00NZ2_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",generic_description_warning,generic_description_warning
NADH ubiquinone oxidoreductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1CSQ3,M1CSQ3_SOLTU,SOLTU,trembl,,,,,false,7,M1CSQ3|M1CSQ3_SOLTU|SOLTU|trembl(ov=1.00); A0A251UDS1|A0A251UDS1_HELAN|HELAN|trembl(ov=1.00); A0A9K3HJZ7|A0A9K3HJZ7_HELAN|HELAN|trembl(ov=1.00); A0A0U2KGJ4|A0A0U2KGJ4_9CHLO|9CHLO|trembl(ov=1.00); A0A251RT72|A0A251RT72_HELAN|HELAN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
NADH-dependent cytochrome b5 reductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A9K3N8D6,A0A9K3N8D6_HELAN,HELAN,trembl,,,,,false,6,A0A9K3N8D6|A0A9K3N8D6_HELAN|HELAN|trembl(ov=1.00); A0A498ITX0|A0A498ITX0_MALDO|MALDO|trembl(ov=0.80); A0AAD7UHA6|A0AAD7UHA6_9STRA|9STRA|trembl(ov=0.80); A0A7J9J094|A0A7J9J094_9ROSI|9ROSI|trembl(ov=0.80); R1G0S4|R1G0S4_EMIHU|EMIHU|trembl(ov=0.80),"strong description match, 5 organisms (ambiguous)",ok,
NADH-glutamate synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q0JKD0,GLT1_ORYSJ,ORYSJ,sprot,,,,,false,3,Q0JKD0|GLT1_ORYSJ|ORYSJ|sprot(ov=1.00); Q0DG35|GLT2_ORYSJ|ORYSJ|sprot(ov=1.00); Q9LV03|GLUT1_ARATH|ARATH|sprot(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
NADH-GOGAT,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,M4MCY5,M4MCY5_9ROSI,9ROSI,trembl,,,,,false,2,M4MCY5|M4MCY5_9ROSI|9ROSI|trembl(ov=1.00); M4MCX2|M4MCX2_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, single organism",broad_taxon_warning,broad_taxon_warning
NADH-ubiquinone oxidoreductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1CSQ3,M1CSQ3_SOLTU,SOLTU,trembl,,,,,false,7,M1CSQ3|M1CSQ3_SOLTU|SOLTU|trembl(ov=1.00); A0A251UDS1|A0A251UDS1_HELAN|HELAN|trembl(ov=1.00); A0A9K3HJZ7|A0A9K3HJZ7_HELAN|HELAN|trembl(ov=1.00); A0A0U2KGJ4|A0A0U2KGJ4_9CHLO|9CHLO|trembl(ov=1.00); A0A251RT72|A0A251RT72_HELAN|HELAN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
NaDH29,B,species_prefix_Na,unknown_prefix_ambiguous,matched,unknown_prefix,unknown_prefix_single_species_candidate,medium,50,,G9HTF5,G9HTF5_NICAT,NICAT,trembl,,,,,false,1,G9HTF5|G9HTF5_NICAT|NICAT|trembl,global symbol DH29: single organism NICAT,ok,
NADH: ubiquinone oxidoreductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1CSQ3,M1CSQ3_SOLTU,SOLTU,trembl,,,,,false,7,M1CSQ3|M1CSQ3_SOLTU|SOLTU|trembl(ov=1.00); A0A251UDS1|A0A251UDS1_HELAN|HELAN|trembl(ov=1.00); A0A9K3HJZ7|A0A9K3HJZ7_HELAN|HELAN|trembl(ov=1.00); A0A0U2KGJ4|A0A0U2KGJ4_9CHLO|9CHLO|trembl(ov=1.00); A0A251RT72|A0A251RT72_HELAN|HELAN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
NADH:plastoquinone dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A6H0JRC9,A0A6H0JRC9_9MAGN,9MAGN,trembl,,,,,false,7,A0A6H0JRC9|A0A6H0JRC9_9MAGN|9MAGN|trembl(ov=1.00); A0A8F1BBE1|A0A8F1BBE1_9LILI|9LILI|trembl(ov=1.00); A0A143FWZ9|A0A143FWZ9_9LILI|9LILI|trembl(ov=1.00); D5MAI8|D5MAI8_PEA|PEA|trembl(ov=1.00); A0A7T5BNH8|A0A7T5BNH8_9LILI|9LILI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
NADH:plastoquinone dehydrogenase complex,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,I1IQ13,I1IQ13_BRADI,BRADI,trembl,,,,,false,1,I1IQ13|I1IQ13_BRADI|BRADI|trembl(ov=0.75),partial description match (coverage),generic_description_warning,generic_description_warning
NADH:ubiquinone oxidoreductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1CSQ3,M1CSQ3_SOLTU,SOLTU,trembl,,,,,false,7,M1CSQ3|M1CSQ3_SOLTU|SOLTU|trembl(ov=1.00); A0A251UDS1|A0A251UDS1_HELAN|HELAN|trembl(ov=1.00); A0A9K3HJZ7|A0A9K3HJZ7_HELAN|HELAN|trembl(ov=1.00); A0A0U2KGJ4|A0A0U2KGJ4_9CHLO|9CHLO|trembl(ov=1.00); A0A251RT72|A0A251RT72_HELAN|HELAN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
NADP malic enzyme,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A1P8BDG6,A0A1P8BDG6_ARATH,ARATH,trembl,,,,,false,7,A0A1P8BDG6|A0A1P8BDG6_ARATH|ARATH|trembl(ov=1.00); A0A1P8BDF1|A0A1P8BDF1_ARATH|ARATH|trembl(ov=1.00); A0A1P8B1I3|A0A1P8B1I3_ARATH|ARATH|trembl(ov=1.00); O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); Q9LYG3|MAOP2_ARATH|ARATH|sprot(ov=1.00),"strong description match, single organism",ok,
NADP+-dependent isocitrate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,R1CPY1,R1CPY1_EMIHU,EMIHU,trembl,,,,,false,6,R1CPY1|R1CPY1_EMIHU|EMIHU|trembl(ov=1.00); A0A9K3PYY8|A0A9K3PYY8_9STRA|9STRA|trembl(ov=1.00); A0A9K3KMU5|A0A9K3KMU5_9STRA|9STRA|trembl(ov=1.00); A0A9K3PGM7|A0A9K3PGM7_9STRA|9STRA|trembl(ov=1.00); A0A1R3G4T4|A0A1R3G4T4_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADP-dependent,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P37223,MAOX_MESCR,MESCR,sprot,,,,,false,6,P37223|MAOX_MESCR|MESCR|sprot(ov=1.00); P12628|MAOX_PHAVU|PHAVU|sprot(ov=1.00); O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); Q9LYG3|MAOP2_ARATH|ARATH|sprot(ov=1.00); Q9XGZ0|MAOP3_ARATH|ARATH|sprot(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADP-dependent D-sorbitol-6-phosphate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AAP0G985,A0AAP0G985_9ASPA,9ASPA,trembl,,,,,false,7,A0AAP0G985|A0AAP0G985_9ASPA|9ASPA|trembl(ov=1.00); A0AAP0G903|A0AAP0G903_9ASPA|9ASPA|trembl(ov=1.00); A0A1J6IQF0|A0A1J6IQF0_NICAT|NICAT|trembl(ov=1.00); A0A2I0WBT8|A0A2I0WBT8_9ASPA|9ASPA|trembl(ov=1.00); C5XT35|C5XT35_SORBI|SORBI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
NADP-dependent D-sorbitol-6-phosphate dehydrogenase-like protein,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AAP0G985,A0AAP0G985_9ASPA,9ASPA,trembl,,,,,false,7,A0AAP0G985|A0AAP0G985_9ASPA|9ASPA|trembl(ov=1.00); A0AAP0G903|A0AAP0G903_9ASPA|9ASPA|trembl(ov=1.00); A0A1J6IQF0|A0A1J6IQF0_NICAT|NICAT|trembl(ov=1.00); A0A2I0WBT8|A0A2I0WBT8_9ASPA|9ASPA|trembl(ov=1.00); C5XT35|C5XT35_SORBI|SORBI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
NADP-dependent farnesol dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,4,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=0.75); A0A2L0V4L9|A0A2L0V4L9_TRAAM|TRAAM|trembl(ov=0.75); A0AAD8J4E2|A0AAD8J4E2_9APIA|9APIA|trembl(ov=0.75); R1CPY1|R1CPY1_EMIHU|EMIHU|trembl(ov=0.75),partial description match (coverage),ok,
NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q43272,GAPN_MAIZE,MAIZE,sprot,,,,,false,5,Q43272|GAPN_MAIZE|MAIZE|sprot(ov=1.00); P81406|GAPN_PEA|PEA|sprot(ov=1.00); Q8LK61|GAPN_WHEAT|WHEAT|sprot(ov=1.00); A0AAP0FVJ1|A0AAP0FVJ1_9ASPA|9ASPA|trembl(ov=1.00); Q1WIQ6|GAPN_ARATH|ARATH|sprot(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NADP-dependent isocitrate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,R1CPY1,R1CPY1_EMIHU,EMIHU,trembl,,,,,false,6,R1CPY1|R1CPY1_EMIHU|EMIHU|trembl(ov=1.00); A0A9K3PYY8|A0A9K3PYY8_9STRA|9STRA|trembl(ov=1.00); A0A9K3KMU5|A0A9K3KMU5_9STRA|9STRA|trembl(ov=1.00); A0A9K3PGM7|A0A9K3PGM7_9STRA|9STRA|trembl(ov=1.00); A0A1R3G4T4|A0A1R3G4T4_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADP-dependent malic enzyme,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,O82191,MAOP1_ARATH,ARATH,sprot,,,,,false,4,O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); Q9LYG3|MAOP2_ARATH|ARATH|sprot(ov=1.00); Q9XGZ0|MAOP3_ARATH|ARATH|sprot(ov=1.00); Q9CA83|MAOP4_ARATH|ARATH|sprot(ov=1.00),"strong description match, single organism",ok,
NADP-dependent malic enzyme-like,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,O82191,MAOP1_ARATH,ARATH,sprot,,,,,false,4,O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); Q9LYG3|MAOP2_ARATH|ARATH|sprot(ov=1.00); Q9XGZ0|MAOP3_ARATH|ARATH|sprot(ov=1.00); Q9CA83|MAOP4_ARATH|ARATH|sprot(ov=1.00),"strong description match, single organism",ok,
NADP-GAPA,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P34919,G3PA_CHOCR,CHOCR,sprot,,,,,false,6,P34919|G3PA_CHOCR|CHOCR|sprot(ov=1.00); P50362|G3PA_CHLRE|CHLRE|sprot(ov=1.00); P09315|G3PA_MAIZE|MAIZE|sprot(ov=1.00); P12858|G3PA_PEA|PEA|sprot(ov=1.00); P09672|G3PA_SINAL|SINAL|sprot(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,
NADP-malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,2,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); O48902|MDHP_MEDSA|MEDSA|sprot(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
NADP-malate enzyme,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P52426,MDHP_SPIOL,SPIOL,sprot,,,,,false,4,P52426|MDHP_SPIOL|SPIOL|sprot(ov=1.00); O48902|MDHP_MEDSA|MEDSA|sprot(ov=1.00); Q05145|MDHP_MESCR|MESCR|sprot(ov=1.00); A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADP-malic enzyme,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A1P8BDG6,A0A1P8BDG6_ARATH,ARATH,trembl,,,,,false,7,A0A1P8BDG6|A0A1P8BDG6_ARATH|ARATH|trembl(ov=1.00); A0A1P8BDF1|A0A1P8BDF1_ARATH|ARATH|trembl(ov=1.00); A0A1P8B1I3|A0A1P8B1I3_ARATH|ARATH|trembl(ov=1.00); O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); Q9LYG3|MAOP2_ARATH|ARATH|sprot(ov=1.00),"strong description match, single organism",ok,
NADP-MDH,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P52426,MDHP_SPIOL,SPIOL,sprot,,,,,false,8,P52426|MDHP_SPIOL|SPIOL|sprot(ov=1.00); O48902|MDHP_MEDSA|MEDSA|sprot(ov=1.00); Q05145|MDHP_MESCR|MESCR|sprot(ov=1.00); Q9FNS5|Q9FNS5_CHLRE|CHLRE|trembl(ov=1.00); A0A6G8IQY9|A0A6G8IQY9_9CARY|9CARY|trembl(ov=1.00),"strong description match, 8 organisms (ambiguous)",ok,
NADP-ME,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,P37223,MAOX_MESCR,MESCR,sprot,,,,,false,9,P37223|MAOX_MESCR|MESCR|sprot(ov=1.00); P12628|MAOX_PHAVU|PHAVU|sprot(ov=1.00); E9NQE2|E9NQE2_MAIZE|MAIZE|trembl(ov=1.00); A0A1Z2THL4|A0A1Z2THL4_9ROSI|9ROSI|trembl(ov=1.00); C1MGZ2|C1MGZ2_MICPC|MICPC|trembl(ov=1.00),"strong description match, 7 organisms (ambiguous)",ok,
NADP-ME1-4,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,O82191,MAOP1_ARATH,ARATH,sprot,,,,,false,7,O82191|MAOP1_ARATH|ARATH|sprot(ov=1.00); P12628|MAOX_PHAVU|PHAVU|sprot(ov=1.00); A0A023IRN2|A0A023IRN2_MALDO|MALDO|trembl(ov=1.00); B8PUQ5|B8PUQ5_WHEAT|WHEAT|trembl(ov=1.00); A0A1P8B1I3|A0A1P8B1I3_ARATH|ARATH|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NADP-ME3,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q9XGZ0,MAOP3_ARATH,ARATH,sprot,,,,,false,4,Q9XGZ0|MAOP3_ARATH|ARATH|sprot(ov=1.00); A0A023IRK2|A0A023IRK2_MALDO|MALDO|trembl(ov=1.00); A0A1P8BDG6|A0A1P8BDG6_ARATH|ARATH|trembl(ov=1.00); A0A1P8BDF1|A0A1P8BDF1_ARATH|ARATH|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
NADP-S6PDH,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q5S3G6,Q5S3G6_MALDO,MALDO,trembl,,,,,false,10,Q5S3G6|Q5S3G6_MALDO|MALDO|trembl(ov=1.00); P28475|S6PD_MALDO|MALDO|sprot(ov=1.00); A0AAP0G985|A0AAP0G985_9ASPA|9ASPA|trembl(ov=1.00); A0AAP0G903|A0AAP0G903_9ASPA|9ASPA|trembl(ov=1.00); A0A1J6IQF0|A0A1J6IQF0_NICAT|NICAT|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADP-specific glutamate dehydrogenases,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,A0A8T1DGN3,A0A8T1DGN3_9STRA,9STRA,trembl,,,,,false,4,A0A8T1DGN3|A0A8T1DGN3_9STRA|9STRA|trembl(ov=0.75); A0A6A3R582|A0A6A3R582_9STRA|9STRA|trembl(ov=0.75); A0A6A3MWI9|A0A6A3MWI9_9STRA|9STRA|trembl(ov=0.75); A0A6A3M047|A0A6A3M047_9STRA|9STRA|trembl(ov=0.75),partial description match (coverage),broad_taxon_warning,broad_taxon_warning
NADPH oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M9R1I8,M9R1I8_FRAAN,FRAAN,trembl,,,,,false,10,M9R1I8|M9R1I8_FRAAN|FRAAN|trembl(ov=1.00); A0A061QUX7|A0A061QUX7_9CHLO|9CHLO|trembl(ov=1.00); A0AAD9XQU5|A0AAD9XQU5_9ROSI|9ROSI|trembl(ov=1.00); A0A835KLG3|A0A835KLG3_9POAL|9POAL|trembl(ov=1.00); A0A835EK12|A0A835EK12_9POAL|9POAL|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADPH--cytochrome P450 reductase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A804RIK0,A0A804RIK0_MAIZE,MAIZE,trembl,,,,,false,7,A0A804RIK0|A0A804RIK0_MAIZE|MAIZE|trembl(ov=1.00); A0A804M946|A0A804M946_MAIZE|MAIZE|trembl(ov=1.00); K3Z4C5|K3Z4C5_SETIT|SETIT|trembl(ov=1.00); A0A4Y7K5C2|A0A4Y7K5C2_PAPSO|PAPSO|trembl(ov=1.00); A0AA38YPB8|A0AA38YPB8_VITRO|VITRO|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
NADPH-dependent alkenal/one oxidoreductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AAD9LCA8,A0AAD9LCA8_9STRA,9STRA,trembl,,,,,false,8,A0AAD9LCA8|A0AAD9LCA8_9STRA|9STRA|trembl(ov=1.00); A0AAD9LVA1|A0AAD9LVA1_9STRA|9STRA|trembl(ov=1.00); A0A0L9TMG1|A0A0L9TMG1_PHAAN|PHAAN|trembl(ov=1.00); A0A317Y5H1|A0A317Y5H1_MAIZE|MAIZE|trembl(ov=1.00); A0A8T0KDN3|A0A8T0KDN3_PHAAN|PHAAN|trembl(ov=1.00),"strong description match, 6 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
NADPH-dependent enzyme,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q30BI1,Q30BI1_MAIZE,MAIZE,trembl,,,,,false,8,Q30BI1|Q30BI1_MAIZE|MAIZE|trembl(ov=1.00); Q39242|TRXB2_ARATH|ARATH|sprot(ov=1.00); A0A0Q3R8X8|A0A0Q3R8X8_BRADI|BRADI|trembl(ov=1.00); A0A072V4D8|A0A072V4D8_MEDTR|MEDTR|trembl(ov=1.00); B7FJ07|B7FJ07_MEDTR|MEDTR|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
NADPH-dependent HC-toxin reductase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,0.8,O49164,O49164_MAIZE,MAIZE,trembl,,,,,false,6,O49164|O49164_MAIZE|MAIZE|trembl(ov=0.80); O49165|O49165_MAIZE|MAIZE|trembl(ov=0.80); O49166|O49166_MAIZE|MAIZE|trembl(ov=0.80); A0A1D6KLB2|A0A1D6KLB2_MAIZE|MAIZE|trembl(ov=0.80); Q8L3V4|Q8L3V4_MAIZE|MAIZE|trembl(ov=0.80),"strong description match, single organism",ok,
