entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
adenine nucleotide alpha hydrolases-like superfamily protein,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,Q8LC99,Q8LC99_ARATH,ARATH,trembl,,,,,false,7,Q8LC99|Q8LC99_ARATH|ARATH|trembl(ov=1.00); Q93W91|Q93W91_ARATH|ARATH|trembl(ov=1.00); Q84JS4|Q84JS4_ARATH|ARATH|trembl(ov=1.00); Q84JS5|Q84JS5_ARATH|ARATH|trembl(ov=1.00); Q9LF45|Q9LF45_ARATH|ARATH|trembl(ov=1.00),"strong description match, single organism",ok,
adenine nucleotide hydrolase-like enzyme,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A2V0PHL5,A0A2V0PHL5_9CHLO,9CHLO,trembl,,,,,false,10,A0A2V0PHL5|A0A2V0PHL5_9CHLO|9CHLO|trembl(ov=1.00); A0A2V0PKL0|A0A2V0PKL0_9CHLO|9CHLO|trembl(ov=1.00); A0A2P6VE92|A0A2P6VE92_9CHLO|9CHLO|trembl(ov=1.00); A0A2P6UZW1|A0A2P6UZW1_9CHLO|9CHLO|trembl(ov=1.00); A0A2P6VLY0|A0A2P6VLY0_9CHLO|9CHLO|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
adenine phosphoribosyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q9SUW2,APT3_ARATH,ARATH,sprot,,,,,false,5,Q9SUW2|APT3_ARATH|ARATH|sprot(ov=1.00); Q0WPS6|Q0WPS6_ARATH|ARATH|trembl(ov=1.00); A0A9K3PM02|A0A9K3PM02_9STRA|9STRA|trembl(ov=1.00); A0A7J9JR08|A0A7J9JR08_9ROSI|9ROSI|trembl(ov=1.00); A0A7J8V7N5|A0A7J8V7N5_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
adenosine kinase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,O49923,ADK_PHYPA,PHYPA,sprot,,,,,false,8,O49923|ADK_PHYPA|PHYPA|sprot(ov=1.00); M0ZWB3|M0ZWB3_SOLTU|SOLTU|trembl(ov=1.00); M0ZWB2|M0ZWB2_SOLTU|SOLTU|trembl(ov=1.00); A0A438K1M8|A0A438K1M8_VITVI|VITVI|trembl(ov=1.00); A0A438GPP5|A0A438GPP5_VITVI|VITVI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
adenosine phosphosulfate,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,Q5EUC7,Q5EUC7_MAIZE,MAIZE,trembl,,,,,false,5,Q5EUC7|Q5EUC7_MAIZE|MAIZE|trembl(ov=1.00); Q5EUC5|Q5EUC5_MAIZE|MAIZE|trembl(ov=1.00); Q5EUC6|Q5EUC6_MAIZE|MAIZE|trembl(ov=1.00); Q5EUC2|Q5EUC2_MAIZE|MAIZE|trembl(ov=1.00); Q5EUC1|Q5EUC1_MAIZE|MAIZE|trembl(ov=1.00),"strong description match, single organism",ok,
Adenosine triphosphatase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A7S3HTR8,A0A7S3HTR8_9STRA,9STRA,trembl,,,,,false,1,A0A7S3HTR8|A0A7S3HTR8_9STRA|9STRA|trembl(ov=1.00),"strong description match, single organism",broad_taxon_warning,broad_taxon_warning
adenosyl-L-methionine-dependent methyltransferase superfamily,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,B4FZP5,B4FZP5_MAIZE,MAIZE,trembl,,,,,false,9,B4FZP5|B4FZP5_MAIZE|MAIZE|trembl(ov=1.00); A0A804QJP1|A0A804QJP1_MAIZE|MAIZE|trembl(ov=1.00); A0A804LTM2|A0A804LTM2_MAIZE|MAIZE|trembl(ov=1.00); A0A804QK98|A0A804QK98_MAIZE|MAIZE|trembl(ov=1.00); A0A804QI76|A0A804QI76_MAIZE|MAIZE|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
Adenosylmethionine decarboxylase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q42679,DCAM_CATRO,CATRO,sprot,,,,,false,6,Q42679|DCAM_CATRO|CATRO|sprot(ov=1.00); Q9AXE3|DCAM_DAUCA|DAUCA|sprot(ov=1.00); O65354|DCAM_HELAN|HELAN|sprot(ov=1.00); Q9M6K1|DCAM_IPOBA|IPOBA|sprot(ov=1.00); Q96471|DCAM_IPONI|IPONI|sprot(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,
adenylate cyclase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1D0T8,M1D0T8_SOLTU,SOLTU,trembl,,,,,false,3,M1D0T8|M1D0T8_SOLTU|SOLTU|trembl(ov=1.00); A0A3R7H2G3|A0A3R7H2G3_9STRA|9STRA|trembl(ov=1.00); A0A6A3F6D0|A0A6A3F6D0_9STRA|9STRA|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
adenylate cyclases,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A061G9U0,A0A061G9U0_THECC,THECC,trembl,,,,,false,1,A0A061G9U0|A0A061G9U0_THECC|THECC|trembl(ov=1.00),"strong description match, single organism",ok,
